,OBJECTID,Shape,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_type_text,whole_route_length_km,jlm_route_length_km,percent_inside_jlm,Shape_Length,routeid,Direction,Alternative
382,383,"(35.15298379805348, 31.76302538035209)",138525,10204,3,27,יהלום/גרנט-אבן ספיר<->תחנת רכבת קלה הר הרצל-ירושלים-1א,13027-1-א,3,,Bus,9.9399995803833,6.110000133514404,0.6146881580352783,0.09942571902799434,13027,1,א
383,384,"(35.157466655194355, 31.763260122498014)",138526,26418,3,27,יהלום/גרנט-אבן ספיר<->מכון שרת/הדסה עין כרם-ירושלים-39,13027-3-9,3,,Bus,14.960000038146973,11.130000114440918,0.7439839839935303,0.14962077165537221,13027,3,9
384,385,"(35.184336912364905, 31.762698064668502)",138527,10235,3,33,כפר שאול/קצנלבוגן-ירושלים<->מסוף גילה/המרגלית-ירושלים-1#,13033-1-#,3,,Bus,20.420000076293945,20.420000076293945,1.0,0.20421169170894388,13033,1,#
385,386,"(35.18449946439503, 31.763119418752996)",138528,10236,3,33,כפר שאול/קצנלבוגן-ירושלים<->מסוף גילה/המרגלית-ירושלים-1ה,13033-1-ה,3,,Bus,19.93000030517578,19.93000030517578,1.0,0.19932327000282607,13033,1,ה
386,387,"(35.18412903347439, 31.761477564344876)",138529,10237,3,33,כפר שאול/קצנלבוגן-ירושלים<->מסוף גילה/המרגלית-ירושלים-1ו,13033-1-ו,3,,Bus,21.309999465942383,21.309999465942383,1.0,0.21307454243376556,13033,1,ו
387,388,"(35.219896494417455, 31.792112051493525)",138539,10812,3,68,קמפוס ספרא/מסוף כפר ההייטק-ירושלים<->מסוף הר הצופים/מרטין בובר-ירושלים-2#,13068-2-#,3,,Bus,10.890000343322754,10.890000343322754,1.0,0.10888503036604304,13068,2,#
388,389,"(35.20513791277856, 31.78063780510613)",138540,11107,3,9,תחנה תפעולית/ביטוח לאומי-ירושלים<->מסוף אגד/בנבנישתי-ירושלים-1ד,14009-1-ד,3,,Bus,19.90999984741211,19.90999984741211,1.0,0.19911474552149488,14009,1,ד
389,390,"(35.20045364133953, 31.81332520677096)",138542,20875,3,860,הקונגרס הציוני/רקאנטי-ירושלים<->שמגר/ירמיהו-ירושלים-1#,14860-1-#,3,FF9933,Bus,10.420000076293945,10.3100004196167,0.9894434213638306,0.10416462242477816,14860,1,#
390,391,"(35.19185252980229, 31.78870859203177)",138548,10441,3,55,רוזנטל/כנפי נשרים-ירושלים<->זקס-ירושלים-1#,17055-1-#,3,,Bus,11.119999885559082,11.119999885559082,1.0,0.11122924900799538,17055,1,#
391,392,"(35.19688895237469, 31.752327147131535)",138551,10228,3,12,תחנה תפעולית/חניון תלפיות מזרח-ירושלים<->כניסה ראשית/הדסה עין כרם-ירושלים-1#,19012-1-#,3,,Bus,21.8700008392334,21.8700008392334,1.0,0.21865050952340703,19012,1,#
